Number	Time	Speed	Artist	Title	BPM	Link	Notes
1	0:00:00:00	100	Noisia	Could This Be	86	https://www.youtube.com/watch?v=O2l1PzsVlD0	01 Noisia - Could This Be
2	0:03:54:00	100	Mutated Forms	The Last Time	87	https://www.youtube.com/watch?v=NHzAzzXdU5o	02 Mutated Forms - Last Time (ft Jenna G) (Full)
3	0:08:38:00	100	Fred V x Graffix	Its Not Right But Its Ok	87	https://www.youtube.com/watch?v=YBvI8sH24Ec	03 Daddys Groove & Little Nancy - It's Not Right But It's Ok (Fred V & Grafix Remix)
4	0:13:46:00	100	Noisia x Begg	ShellShock ft. Foreign Beggars	86	https://www.youtube.com/watch?v=lt4iHCpIdHE	04 Noisia - Shellshock Feat. Foreign Beggars
5	0:17:12:00	100	Fox Stevenson	All This Time	87	https://www.youtube.com/watch?v=hPokJFyUq1s	05 Fox Stevenson - All This Time
6	0:21:15:00	101.16	Feint ft	The Journey	86 <- 87	https://www.youtube.com/watch?v=knbkFOvfucQ	06 Feint - The Journey ft. Veela
7	0:24:16:00	100	Ross D	Loving You	175	https://www.youtube.com/watch?v=rmuqKeNXLoU	07 Ross D - Loving You
8	0:31:02:00	100	Colussus	Under the Weather	87	https://www.youtube.com/watch?v=-ka9TH9CH6o	08 Colossus - Under the Weather
9	0:38:06:00	100	Netsky x Crystal Clear	King of the stars	174	https://www.youtube.com/watch?v=WfTRi-_BDik	09 Crystal Clear & Netsky - King of the stars
10	0:42:06:00	100	Fred V x Graffix	Paradise	174	https://www.youtube.com/watch?v=daq_GV7Zg1Q	10 Fred V - Paradise
11	0:45:09:00	99.4	Modest Intentions	Last Summer	174 <- 175	https://www.youtube.com/watch?v=QubnhZczWsQ	11 Modest Intentions - Last Summer
12	0:49:53:00	100	Fred V x Graffix	Long Distance	174	https://www.youtube.com/watch?v=2jXnytbyXTs	12 Fred V & Grafix - Long Distance
13	0:52:41:00	100	Well Being	Storms by Streetlight	86	https://www.youtube.com/watch?v=SuxTKmiovUk	13 Well Being - Storms By Street Light
14	0:59:21:00	100	Joetf	Flashing Lights	87.5		14 Joetf - Flashing Lights
